"","Nome d'arte","Nome","Sesso","Attività","Paesi.di.prima.pubblicazione","Mercati","Editori","Insegna.presso"
"1039",NA,"Liberatore, Gaetano ""Tanino""","M","Autore unico, disegni","IT","GN","COMICON Edizioni",NA
"1040",NA,"Limido, Carlo","M","Disegni","IT","P","The Walt Disney Company",NA
"1041",NA,"Liotti, Giuseppe","M","Disegni","FR","GN","Éditions le Lombard, Rue de Sévres",NA
"1042",NA,"Lise, Alessandro","M","Autore unico","IT","GN","BeccoGiallo","Scuola internazionale di Comics - Padova"
"1043",NA,"Lisiero, Alberto","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1044",NA,"Listrani, Fabio","M","Autore unico","IT","GN","Shockdom",NA
"1045",NA,"Liuzzi, Fabrizio","M","Sceneggiatura","IT","GN","BD, Edizioni NPE, Lavieri Edizioni",NA
"1046",NA,"Liverano Moscoviti, Antonella","F","Sceneggiatura","IT","GN","Bugs Comics",NA
"1047",NA,"Lo Bianco, Fabrizio","M","Sceneggiatura","IT, FR","P, GN","Arnoldo Mondadori Editore, Éditions Glenat, Éditions Soleil, Europublishing, Mondadori Comics, Play Press, San Paolo Periodici, The Walt Disney Company, Tridimensional SRL, Tunué",NA
"1048",NA,"Lo Bocchiaro, Giuseppe","M","Disegni","IT","GN","BeccoGiallo",NA
"1049",NA,"Lo Cascio, Ludovico","M","Disegni","IT","GN","Edizioni NPE",NA
"1050",NA,"Lo Giudice, Riccardo","M","Autore unico","IT","GN","Shockdom",NA
"1051",NA,"Lo Storto, Francesco","M","Disegni","IT, FR, USA","P, GN","Éditions Glenat, IDW Publishing, Star Comics","Scuola internazionale di Comics - Roma"
"1052",NA,"Locatelli, Alberto","M","Disegni","IT","GN","It Comics, ReNoir Comics",NA
"1053",NA,"Loizedda, Danilo","M","Disegni","IT, FR","P, GN","Éditions Glenat, The Walt Disney Company","Scuola Mohole (Milano)"
"1054",NA,"Lolli, Matteo","M","Disegni","IT, USA","P","Marvel Comics, Panini Comics","Scuola internazionale di Comics - Reggio Emilia"
"1055",NA,"Lombardi, Rocco","M","Disegni","IT","GN","BeccoGiallo",NA
"1056",NA,"Lombardi, Silvia","F","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1057",NA,"Lombardo, Ivo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1058",NA,"Lombardo, Spartaco","M","Colori","IT","P","Sergio Bonelli Editore",NA
"1059",NA,"Longo, AlbHey","M","Autore unico","IT","GN","Bao Publishing",NA
"1060",NA,"Longo, Fabrizio","M","Disegni","IT","P, GN","Bompiani, Einaudi, Sergio Bonelli Editore","Genova Comics Academy"
"1061",NA,"Lopresti, Claudio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1063",NA,"Lorusso, Giovanni","M","Disegni","IT, FR","P, GN","Arnoldo Mondadori Editore, Éditions Soleil, Mondadori, Sergio Bonelli Editore",NA
"1064",NA,"Lotti, Enrico","M","Sceneggiatura","IT","P","Astorina, Sergio Bonelli Editore",NA
"1065",NA,"Lovelock, Ryan","M","Disegni","IT, FR","P, GN","Akileos, Editoriale Cosmo",NA
"1066",NA,"Lozzi, Arturo","M","Disegni","IT","P","Panini Comics, Sergio Bonelli Editore",NA
"80","Astrid","Lucchesi, Stephanie Astrid","F","Disegni","IT","GN","Kleiner Flug",NA
"1068",NA,"Lucchi, Antonio","M","Disegni, colori","IT","P","Sergio Bonelli Editore",NA
"1069",NA,"Lucci, Andrea","M","Sceneggiatura, disegni","IT","P","The Walt Disney Company",NA
"1071",NA,"Lucking, Thomas","M","Sceneggiatura","IT","GN","Shockdom",NA
"1074",NA,"Lupacchino, Emanuela","F","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"1075",NA,"Lupattelli, Carita","F","Disegni","FR","GN","Les Humanoides Associes",NA
"1076",NA,"Lusso, Piero","M","Autore unico, sceneggiatura, colori","IT","P, GN","Bugs Comics, MCK Publishing, Panini Comics, San Paolo Periodici, Sbam! Comics, Slow Food",NA
"1077",NA,"Macaione, Giulio","M","Autore unico","IT, USA","GN","Bao Publishing, BOOM! Studios, Panini Comics","Scuola internazionale di Comics - Reggio Emilia"
"1078",NA,"Macchetto, Augusto","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1079",NA,"Macchiavello, Enrico","M","Autore unico","IT","GN","GRRRz Comic Art Books","Scuola internazionale di Comics - Genova"
"1080",NA,"Macellari, Elisa","F","Autrice unica","IT","GN","Bao Publishing",NA
"1081",NA,"Macioci, Vittoria","F","Disegni","IT","GN","SaldaPress",NA
"1082",NA,"Macola, Piero","M","Autore unico","IT, FR","GN","Actes Sud, Atrabile, Oblomov Edizioni",NA
"1083",NA,"Maconi, Gian Luca","M","Disegni","IT, FR, USA","P, GN","Alias - il Manifesto, BD, BeccoGiallo, Éditions Soleil, Sergio Bonelli Editore, Star Comics, The Walt Disney Company","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)"
"1084",NA,"Maddaleni, Paolo","M","Colori","USA","P","IDW Publishing","SRF - Scuola Romana dei Fumetti"
"1085",NA,"Madrigal, Alberto","M","Autore unico","IT","GN","Bao Publishing",NA
"1086",NA,"Magalotti, Lorenzo","M","Disegni","IT","GN","Tunué",NA
"1087",NA,"Maglianesi, Lorenzo","M","Disegni","IT","GN","Noise Press",NA
"1088",NA,"Magliani, Marino","M","Sceneggiatura","IT","GN","Tunué",NA
"1089",NA,"Magnasciutti, Fabio","M","Disegni","IT","GN","Barta Edizioni",NA
"1091",NA,"Mainardi, Alessandro","M","Sceneggiatura","IT","P","Astorina, The Walt Disney Company",NA
"1092",NA,"Maini, Paolo","M","Sceneggiatura","IT","GN","Noise Press",NA
"1095",NA,"Makyo, Pierre","M","Sceneggiatura","IT, FR","P, GN","Éditions Delcourt, Éditions Dupuis, Éditions Glenat, Editoriale Cosmo","SRF - Scuola Romana dei Fumetti"
"1096",NA,"Malara, Diego","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"1097",NA,"Malatini, Michael","M","Sceneggiatura","IT","P","Star Comics",NA
"1098",NA,"Malisan, Luca","M","Disegni, chine, colori, lettering","IT, FR","P","Éditions Delcourt, Éditions Glenat, Sergio Bonelli Editore",NA
"1099",NA,"Malosso, Massimo","M","Colori","IT","P","San Paolo Periodici","Scuola internazionale di Comics - Padova"
"1100",NA,"Mammucari, Emiliano","M","Autore unico, disegni","IT","P, GN","Bao Publishing, Sergio Bonelli Editore, Star Comics","The Sign - Comics & Arts Academy (Firenze)"
"1101",NA,"Mammucari, Matteo","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1102",NA,"Manara, Milo","M","Autore unico, disegni","IT, FR, USA","GN","COMICON Edizioni, Marvel Comics, Mondadori, Panini Comics",NA
"1103",NA,"Mancinelli, Sergio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1104",NA,"Mancini, Daniele","M","Sceneggiatura","IT","GN","Shockdom",NA
"1105",NA,"Mancini, Fabio Pia","M","Disegni","IT","GN","Il Battello a Vapore",NA
"1106",NA,"Mancuso, Federico","M","Disegni","IT","P","The Walt Disney Company",NA
"1107",NA,"Mandalari, Mauro","M","Disegni","USA","P","Absolute Comics, Titan Comics",NA
"1108",NA,"Mandanici, Patrizia","F","Disegni, colori","IT","P","Sergio Bonelli Editore",NA
"1109",NA,"Manera, Matteo","M","Disegni","IT","GN","BD",NA
"1110",NA,"Manfredi, Federica","F","Disegni","IT, FR, USA","P","IDW Publishing, Marvel Comics",NA
"1111",NA,"Manfredi, Gianfranco","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1113",NA,"Mangiantini, Marcello","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1114",NA,"Mangiatordi, Vitale","M","Disegni","IT","P","The Walt Disney Company",NA
"1115",NA,"Manieri, Stefano","M","Disegni","IT","P","Bugs Comics, Edizioni INKiostro",NA
"1116",NA,"Manna, Francesco","M","Disegni","FR, USA","P, GN","Éditions Glenat, Marvel Comics",NA
"1117",NA,"Manni, Fiore","F","Autrice unica","IT","GN","Shockdom",NA
"1118",NA,"Mantero, Maurizio","M","Sceneggiatura","IT","P","ReNoir Comics, Sergio Bonelli Editore",NA
"1119",NA,"Mantovani, Fabio","M","Disegni","FR","GN","Éditions Delcourt, Les Humanoides Associes","Scuola internazionale di Comics - Roma"
"1120",NA,"Manunta, Giuseppe","M","Disegni","IT, FR","P, GN","Éditions Clair de Lune, Éditions du Long Bec, The Walt Disney Company",NA
"961","Hurricane","Manuppelli, Ivan","M","Autore unico","IT","GN","Einaudi, Eris Edizioni","Scuola Mohole (Milano)"
"1121",NA,"Manzi, Danilo","M","Autore unico","IT","GN","Hollow Press",NA
"1122",NA,"Manzo, Gianluca","M","Sceneggiatura","IT","GN","Noise Press",NA
"1123",NA,"Manzone, Federico","M","Autore unico","IT","GN","Canicola Edizioni",NA
"1124",NA,"Manzoni, Monica","F","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1125",NA,"Marchese, Giovanni","M","Sceneggiatura","IT","GN","Tunué",NA
"1126",NA,"Marchesi, Mauro","M","Disegni","FR","GN","21g",NA
"1127",NA,"Marchisio, Giada","F","Colori","IT","P","Sergio Bonelli Editore",NA
"1128",NA,"Marconi, Massimo","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1129",NA,"Maresca, Luca","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1130",NA,"Maresta, Werner","M","Disegni","IT","P","ReNoir Comics, Sergio Bonelli Editore",NA
"1131",NA,"Margiotta, Paolo","M","Sceneggiatura","IT","GN","Shockdom",NA
"1132",NA,"Mari, Nicola","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1133",NA,"Mariani, Susanna","F","Disegni","IT","GN","BeccoGiallo",NA
"1134",NA,"Mariem Hassan, Andromalis","F","Disegni","IT","GN","Barta Edizioni",NA
"1135",NA,"Marinelli, Francesca","F","Disegni","FR","GN","Feles",NA
"1136",NA,"Marinetti, Antonio","M","Disegni","IT, FR","P, GN","Éditions Soleil, Sergio Bonelli Editore",NA
"1137",NA,"Marinetti, Raffaele","M","Disegni","IT","GN","Edizioni NPE",NA
"1138",NA,"Marini, Enrico","M","Sceneggiatura, disegni","FR","GN","Dargaud",NA
"1139",NA,"Marini, Roberto","M","Disegni","IT","P","The Walt Disney Company",NA
"1140",NA,"Marino, Silvia","F","Disegni","IT","P","Aurea Editoriale, Editoriale Aurea","Scuola Chiavarese del Fumetto"
"1141",NA,"Maroh, Julie","F","Autrice unica","FR","GN","Éditions Glenat, Panini Comics",NA
"1142",NA,"Marolla, Samuel","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1143",NA,"Marotta, Daniele","M","Autore unico","IT","GN","Effequ, Minimum Fax","Scuola di fumetto e scrittura (Siena)"
"1144",NA,"Marra, Christian G.","M","Autore unico","IT","GN","Passenger Press","Scuola Mohole (Milano)"
"1145",NA,"Marras, Giorgia","F","Autrice unica","IT, FR","GN","Diabolo Edizioni, Steinkis",NA
"1146",NA,"Marsiglia, Stefano","M","Sceneggiatura","IT","P","Editoriale Cosmo, Sergio Bonelli Editore",NA
"1147",NA,"Marsili, Alessandra ""Amarsì""","F","Disegni","FR","GN","Ankama Éditions, Sarbacane",NA
"1148",NA,"Marsoli, Lisa","F","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1149",NA,"Martellini, Marco","M","Disegni","IT","GN","Edizioni NPE",NA
"1150",NA,"Martello, Annapaola","F","Disegni","IT, USA","P","Bugs Comics, Marvel Comics, Vestron, Zenescope",NA
"1151",NA,"Martinelli, Gloria","F","Colori","IT","P","Sergio Bonelli Editore","Scuola Mohole (Milano)"
"1152",NA,"Martinelli, Patricia","F","Sceneggiatura","IT","P","Astorina",NA
"1153",NA,"Martinelli, Sara","F","Colori","FR","GN","Éditions Delcourt",NA
"1154",NA,"Martinello, Paolo","M","Disegni","IT, FR","P, GN","Éditions Glenat, Sergio Bonelli Editore","Scuola internazionale di Comics - Reggio Emilia, Corso di fumetto - Arena del Fumetto (Bologna)"
"1308","Nebbioso","Martini, Enrico","M","Sceneggiatura","IT","GN","Shockdom, Tunué",NA
"1155",NA,"Martino, Emiliano","M","Disegni","IT","GN","BeccoGiallo",NA
"1156",NA,"Martino, Lorenzo","M","Disegni","IT","GN","BeccoGiallo",NA
"1157",NA,"Martino, Stefano","M","Disegni","IT, FR","P, GN","Éditions Soleil, Sergio Bonelli Editore",NA
"1158",NA,"Martinoli, Silvia","F","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1159",NA,"Martone, Giorgio","M","Autore unico","IT","GN","Hazard Edizioni",NA
"1160","Martoz","Martorelli, Alessandro","M","Autore unico","IT","GN","Canicola Edizioni, Coconino Press, Feltrinelli Editore, MalEdizioni, Shockdom","Scuola internazionale di Comics - Milano, IED - Istituto Europeo di Disegni (Roma)"
"1161",NA,"Martusciello, Alessia","F","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"1162",NA,"Maruccia, Alessio","M","Disegni, chine","IT","P","Bugs Comics",NA
"1163",NA,"Marzano, Giancarlo","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore",NA
"1164",NA,"Marzocchi, Leila","F","Autrice unica","IT","GN","Coconino Press, Oblomov Edizioni",NA
"1165",NA,"Masala, Guido","M","Disegni","IT","P","Sergio Bonelli Editore","Fumé Scuola di fumetto"
"1166",NA,"Masaya, Martina","F","Autrice unica","IT","GN","Shockdom",NA
"1167",NA,"Mascolo, Fabiana","F","Disegni, colori","IT, USA","P, GN","BD, BOOM! Studios, Cosmo Editoriale, Editoriale Aurea, Editoriale Cosmo, Feltrinelli Editore, Scout Comics",NA
"1168",NA,"Masellis, Helena","F","Disegni","IT, FR, USA","P","A Wave Blue World, Bugs Comics, Éditions Caurette, Petit à Petit, Remer Comics, Sergio Bonelli Editore",NA
"1169",NA,"Masi, Giovanni","M","Sceneggiatura","IT","P, GN","Bao Publishing, Sergio Bonelli Editore",NA
"1170",NA,"Masiero, Michele","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1171",NA,"Masini, Jacopo","M","Sceneggiatura","IT","GN","Edizioni INKiostro",NA
"1172",NA,"Masperi, Sergio","M","Sceneggiatura","IT","P","Sergio Bonelli Editore",NA
"1173",NA,"Massa, Enrico","M","Disegni","IT","P","Sergio Bonelli Editore","Scuola Chiavarese del Fumetto"
"1174",NA,"Massacci, Alex","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1175",NA,"Massaggia, Alberto","M","Sceneggiatura, disegni","IT, USA","P","Noise Press, Scout Comics, Sergio Bonelli Editore, Shockdom",NA
"1176",NA,"Massagli, Paolo","M","Autore unico, disegni","IT","GN","Edizioni INKiostro, Hollow Press",NA
"1177",NA,"Massaglia, Giulia Francesca","F","Disegni","IT","P","Astorina, Sergio Bonelli Editore",NA
"1178",NA,"Massimo, Pako","M","Disegni","IT","P, GN","Cut Up Publishing, Sergio Bonelli Editore","Scuola italiana di Comix (Napoli)"
"1179",NA,"Mastantuono, Corrado","M","Sceneggiatura, disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"1180",NA,"Mastragostino, Matteo","M","Sceneggiatura","IT","GN","BeccoGiallo",NA
"1181",NA,"Mastrantuono, Stefano","M","Disegni","IT","P","Bugs Comics",NA
"1182",NA,"Matera, Adele","F","Autrice unica, colori","IT","P, GN","Bao Publishing, Sergio Bonelli Editore",NA
"1183",NA,"Matrone, Marco","M","Autore unico, colori","IT","P, GN","Bao Publishing, Sergio Bonelli Editore",NA
"1184",NA,"Matteoni, Giuseppe","M","Disegni","IT","P","Sergio Bonelli Editore","SRF - Scuola Romana dei Fumetti"
"1185",NA,"Matteucci, Agata","F","Autrice unica","IT","GN","Edizioni NPE",NA
"1186",NA,"Matteuzzi, Francesco","M","Sceneggiatura","IT","GN","BeccoGiallo","Scuola internazionale di Comics - Padova"
"1187",NA,"Matticchio, Franco","M","Autore unico","IT","GN","Rizzoli Lizard",NA
"1188",NA,"Mattina, Francesco","M","Disegni","IT","P","Panini Comics",NA
"1189",NA,"Mattioni, Ilaria","F","Autrice unica","IT","GN","Bao Publishing",NA
"1190",NA,"Mattone, Italo","M","Disegni","IT","P","ReNoir Comics, Sergio Bonelli Editore","Scuola internazionale di Comics - Napoli"
"1191",NA,"Mattotti, Lorenzo","M","Autore unico, disegni","IT","GN","Coconino Press, COMICON Edizioni, Logos Edizioni",NA
"1192",NA,"Mauro, Pedro","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1194",NA,"Mazza, Ettore","M","Autore unico","IT","GN","BD",NA
"1195",NA,"Mazzanti, Attilio","M","Autore unico","FR","GN","Éditions Soleil",NA
"1196",NA,"Mazzara, Aurelio","M","Disegni","IT","P","The Walt Disney Company",NA
"1197",NA,"Mazzarello, Marco","M","Disegni","IT","P","The Walt Disney Company",NA
"1198",NA,"Mazzetti, Sarah","F","Autrice unica","IT","GN","Canicola Edizioni",NA
"1199",NA,"Mazzocco, Luca","M","Sceneggiatura","IT","P","Aurea Editoriale, Editoriale Aurea","Scuola internazionale di Comics - Padova"
"1200",NA,"Mazzoleni, Gabriele","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1201",NA,"Mazzoli, Leonardo","M","Disegni","IT","GN","BeccoGiallo",NA
"1202",NA,"Mazzolini, Olga","F","Autrice unica","IT","GN","Hazard Edizioni, Kleiner Flug",NA
"1203",NA,"Mazzon, Michele","M","Disegni","IT","P","The Walt Disney Company",NA
"1204",NA,"Medda, Michele","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"1205",NA,"Medri, Denis","M","Disegni","IT, USA","P, GN","DC Comics, IDW Publishing, Rizzoli Lizard",NA
"1206",NA,"Medulla, Alessandra","F","Colori","IT","GN","BeccoGiallo",NA
"1207",NA,"Melaranci, Elisabetta","F","Disegni","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"1208",NA,"Melarosa, Alessandra","F","Autrice unica","IT","GN","Edizioni NPE",NA
"550","Dakar","Meli, Roberto","M","Disegni","IT","P, GN","Mondadori, ReNoir Comics, Sergio Bonelli Editore",NA
"1209",NA,"Melis, Roberto","M","Disegni","IT","GN","Arnoldo Mondadori Editore, Kleiner Flug, ReNoir Comics, Sergio Bonelli Editore",NA
"1210",NA,"Meloni, Andrea","M","Colori","IT, FR","P, GN","Éditions Glenat, Sergio Bonelli Editore",NA
"1211",NA,"Meloni, Marco","M","Sceneggiatura, disegni","IT","P","San Paolo Periodici, The Walt Disney Company","Fumé Scuola di fumetto"
"1212",NA,"Memo, Francesco","M","Autore unico","IT","GN","Tunué",NA
"1213",NA,"Meneghel, Elisa","F","Autrice unica","IT","GN","BD",NA
"1214",NA,"Menetti, Sara","F","Autrice unica","IT","GN","Feltrinelli Editore","Corso di fumetto - Arena del Fumetto (Bologna)"
"1215",NA,"Menichetti, Chiara","F","Sceneggiatura","IT","GN","Shockdom",NA
"1216",NA,"Menin, Antonio","M","Disegni","FR","GN","Editions des bulles dans l'ocean","Scuola internazionale di Comics - Padova"
"1217",NA,"Menini, Elisa","F","Autrice unica","IT","GN","Oblomov Edizioni",NA
"1218",NA,"Mennillo, Angelo","M","Autore unico, disegni","FR","GN","Rackham",NA
"1219",NA,"Merati, Luigi","M","Disegni","IT","P","Astorina",NA
"684","Don Alemanno","Mereu, Alessandro","M","Autore unico","IT","GN","Magic Press Edizioni",NA
"1220",NA,"Mericone, Silvia","F","Sceneggiatura","IT","P","Sergio Bonelli Editore, Star Comics",NA
"1221",NA,"Merli, Anna","F","Disegni, colori","IT","P, GN","Bao Publishing, The Walt Disney Company",NA
"1222",NA,"Merli, Luca","M","Disegni, colori","IT, FR","P, GN","Éditions Delcourt, Éditions Glenat, Éditions Soleil, Panini Comics, The Walt Disney Company",NA
"1223",NA,"Messina, David","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics","Scuola internazionale di Comics - Roma"
"1224",NA,"Messina, Doris","F","Colori","IT","P","The Walt Disney Company",NA
"1225",NA,"Messina, Ediberto","M","Disegni","IT","P","Aurea Editoriale, Editoriale Aurea",NA
"1226",NA,"Messina, Federica","F","Autrice unica","IT","GN","Shockdom",NA
"1227",NA,"Meucci, Andrea","M","Sceneggiatura","IT","GN","BD, Kleiner Flug",NA
"1228",NA,"Mezzavilla, Silvano","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1229",NA,"Micelli, Alessandro","M","Disegni","USA","P","Oni Press, Valiant Entertainment",NA
"1230",NA,"Michelazzo, Ernesto","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1231",NA,"Michelini, Fabio","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1232",NA,"Michelon, Giacomo","M","Sceneggiatura, disegni","IT","P","MCK Publishing, Panini Comics",NA
"1233",NA,"Michieli, Lucio","M","Chine","IT","P","The Walt Disney Company",NA
"1234",NA,"Migheli, Roberta","F","Disegni","IT","P","The Walt Disney Company",NA
"1235",NA,"Mignacco, Luigi","M","Sceneggiatura","IT","P","Sergio Bonelli Editore, The Walt Disney Company",NA
"1236",NA,"Milani, Alice","F","Autrice unica","IT","GN","BeccoGiallo, Feltrinelli Editore",NA
"1237",NA,"Milano, Luciano","M","Disegni","IT","P","The Walt Disney Company",NA
"1238",NA,"Milano, Mario","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1239",NA,"Milazzo, Ivo","M","Disegni","IT","P, GN","Bao Publishing, Edizioni NPE, Sergio Bonelli Editore",NA
"1240",NA,"Milone, Mirko","M","Autore unico, chine","IT","GN","Carocci, Ente editoriale per l'Arma dei Carabinieri, Ivvi",NA
"1241",NA,"Minciaroni, Davide","M","Autore unico","IT","GN","BD",NA
"1242",NA,"Minotti, Pierluigi","M","Disegni","IT","P","Bugs Comics, Editoriale Cosmo, Sergio Bonelli Editore",NA
"1243",NA,"Miola, Stefania","F","Colori","IT","P","Sergio Bonelli Editore",NA
"1244",NA,"Mirabella, Maria Letizia","F","Lettering","IT","P, GN","Atlantyca, Editoriale Cosmo, Magic Press Edizioni, NonaArte, Panini Comics, Playmaker, Sergio Bonelli Editore, Tunué",NA
"1245",NA,"Miracolo, Alessandro","M","Disegni","IT, USA","P, GN","IDW Publishing, Noise Press",NA
"1246",NA,"Miriade, Chiara","F","Colori","IT","GN","Noise Press",NA
"1247",NA,"Mirizzi, Antonio","M","Autore unico","IT","GN","Hazard Edizioni",NA
"1248",NA,"Mirulla, Elena","F","Autrice unica","IT","GN","Cronache di Topolinia",NA
"1249",NA,"Mistrello, Elena","F","Autrice unica","IT","GN","BeccoGiallo, Hazard Edizioni",NA
"1250",NA,"Mlinaric, Antonio","M","Disegni","IT","P","Bugs Comics, Editoriale Cosmo",NA
"1251",NA,"Mò, Lorenzo","M","Autore unico","IT","GN","Coconino Press, Eris Edizioni",NA
"1252",NA,"Mobili, Francesco","M","Disegni","IT, USA","P","DC Comics, Marvel Comics, Panini Comics",NA
"1253",NA,"Mocci, Daniele","M","Sceneggiatura","IT, FR","GN","Éditions Clair de Lune, Gaghi, Tunué","Fumé Scuola di fumetto"
"1254",NA,"Mogavino, Simona","F","Sceneggiatura","FR","GN","Éditions Delcourt, Éditions Glenat",NA
"1255",NA,"Mognato, Caterina","F","Sceneggiatura","FR","GN","Éditions Glenat",NA
"1256",NA,"Molinari, Lara","F","Disegni","IT","P","The Walt Disney Company",NA
"1112","Mangaka96","Molinaro, Luca","M","Autore unico","IT","GN","Shockdom",NA
"1257",NA,"Molinaro, Luca","M","Sceneggiatura","IT","GN","Shockdom",NA
"1258",NA,"Monastra, Gianluca","M","Sceneggiatura","IT","GN","Round Robin",NA
"1001","Laca","Montagliani, Luca","M","Autore unico","IT","P, GN","Annexia, Cut Up Publishing, Max Bunker Press",NA
"1259",NA,"Montalbano, Claudio","M","Disegni","IT","P, GN","Edizioni INKiostro, Sergio Bonelli Editore",NA
"1260",NA,"Montanari, Giuseppe","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1261",NA,"Montanini, Angelo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1262",NA,"Monteduro, Max","M","Sceneggiatura, disegni","IT","P","The Walt Disney Company","Scuola internazionale di Comics - Firenze"
"1263",NA,"Monteforte Bianchi, Francesco","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1264",NA,"Monteleone, Michele","M","Autore unico","IT","P, GN","Bao Publishing, Sergio Bonelli Editore, Star Comics",NA
"1265",NA,"Montelli, Flavio","M","Autore unico","FR","GN","Casterman",NA
"562","Darkam","Monti, Eugenia","F","Disegni","IT","GN","BeccoGiallo",NA
"1266",NA,"Monti, Giacomo","M","Autore unico","IT","GN","Canicola Edizioni",NA
"1267",NA,"Montorio, Giorgio","M","Disegni","IT","P","Astorina",NA
"1268",NA,"Morando, Davide","M","Sceneggiatura","IT","GN","Genova Comics Academy",NA
"1269",NA,"Moranelli, Romina","F","Disegni","IT, FR, USA","P, GN","Éditions Clair de Lune, Marvel Comics, The Walt Disney Company",NA
"1270",NA,"Morelli, Valeria","F","Lettering","IT","GN","Edizioni NPE",NA
"1271",NA,"Moretta, Vittoria ""Vitt""","F","Autrice unica","IT","GN","Coconino Press",NA
"1272",NA,"Moretti, Nora","F","Disegni","IT, FR","GN","Éditions Soleil, ReNoir Comics",NA
"1861","Tommy Gun","Moretti, Tommaso","M","Autore unico","IT","GN","Eris Edizioni",NA
"1273",NA,"Morettini, Elia","M","Disegni","IT","GN","BD",NA
"1274",NA,"Morici, Giuseppe","M","Disegni, colori","IT","GN","BeccoGiallo",NA
"1275",NA,"Moriconi, Francesco","M","Sceneggiatura","IT","P, GN","001 Edizioni, Aurea Editoriale, Editoriale Aurea","Scuola internazionale di Comics - Roma"
"1276",NA,"Morisi, Paolo","M","Autore unico","IT","GN","KappaLab",NA
"1277",NA,"Mormile, Cristina","F","Disegni","IT","P","Sergio Bonelli Editore",NA
"1278",NA,"Moro, Mattia","M","Autore unico","IT","GN","BeccoGiallo, Hazard Edizioni",NA
"1279",NA,"Moroni, Alessio","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1280",NA,"Morri, Mabel","F","Autrice unica","IT","GN","KappaLab",NA
"1281",NA,"Morris, Rachele","F","Disegni","IT","GN","BeccoGiallo",NA
"1282",NA,"Morrone, Manolo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1283",NA,"Mortarino, Francesco","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"967","Il Baffo","Mosca, Giulio","M","Autore unico","IT","GN","Longanesi, Shockdom",NA
"1284",NA,"Mosca, Matteo","M","Disegni","IT","P","Sergio Bonelli Editore",NA
"1285",NA,"Moscato, Roberto","M","Sceneggiatura","IT","P","The Walt Disney Company",NA
"1286",NA,"Mossa, Andres J.","M","Disegni, colori","IT, USA","P","Marvel Comics, Sergio Bonelli Editore","Grafite - Scuola di grafica e fumetto (Taranto)"
"1287",NA,"Motta, Paolo","M","Sceneggiatura","IT","GN","Edizioni NPE, EF Edizioni",NA
"1288",NA,"Mottura, Paolo","M","Sceneggiatura, disegni","IT","P","The Walt Disney Company",NA
"1338","Officina infernale","Mozzato, Andrea","M","Autore unico","IT","GN","BeccoGiallo, Eris Edizioni",NA
"1289",NA,"Mucciacito, Francesco","M","Disegni","IT, FR","GN","Arnoldo Mondadori Editore, Éditions Delcourt, Éditions Soleil, Mondadori",NA
"984","Joe1","Muci, Roberta","F","Autrice unica","IT","GN","Diabolo Edizioni, Feltrinelli Editore",NA
"1290",NA,"Muhova, Kalina","F","Autrice unica","IT","GN","Canicola Edizioni, Tunué",NA
